File: points_prob210_59.txt, Average Fitness: 809.4943580754835, Average Time: 2.44146728515625
File: points_prob210_6.txt, Average Fitness: 809.0901425701336, Average Time: 2.317826986312866
File: points_prob210_60.txt, Average Fitness: 795.0443546445555, Average Time: 3.263280153274536
File: points_prob210_61.txt, Average Fitness: 812.3505641799084, Average Time: 2.233010768890381
File: points_prob210_62.txt, Average Fitness: 836.1619117986454, Average Time: 1.652620553970337
File: points_prob210_63.txt, Average Fitness: 829.6281034358308, Average Time: 1.9816949367523193
File: points_prob210_64.txt, Average Fitness: 836.4495888841361, Average Time: 2.1701574325561523
File: points_prob210_65.txt, Average Fitness: 826.5594456362486, Average Time: 2.3088529109954834
File: points_prob210_66.txt, Average Fitness: 829.815946047562, Average Time: 2.06033992767334
File: points_prob210_67.txt, Average Fitness: 801.6340300402245, Average Time: 2.553208827972412
File: points_prob210_68.txt, Average Fitness: 844.7724575723396, Average Time: 1.8680033683776855
File: points_prob210_69.txt, Average Fitness: 830.786126875878, Average Time: 2.1980788707733154
File: points_prob210_7.txt, Average Fitness: 853.441381205867, Average Time: 2.2056732177734375
File: points_prob210_70.txt, Average Fitness: 828.1208491184316, Average Time: 1.798161506652832
File: points_prob210_71.txt, Average Fitness: 831.3104665536562, Average Time: 2.7317214012145996
File: points_prob210_72.txt, Average Fitness: 779.5602238365724, Average Time: 2.397589683532715
File: points_prob210_73.txt, Average Fitness: 830.1542637060893, Average Time: 2.8573851585388184
File: points_prob210_74.txt, Average Fitness: 826.2009522838189, Average Time: 2.233060598373413
File: points_prob210_75.txt, Average Fitness: 819.9788436704537, Average Time: 2.085414409637451
File: points_prob210_76.txt, Average Fitness: 844.5716691542555, Average Time: 2.905198097229004
File: points_prob210_77.txt, Average Fitness: 838.1309214389214, Average Time: 2.495352029800415
File: points_prob210_78.txt, Average Fitness: 850.4502748670714, Average Time: 2.3008432388305664
File: points_prob210_79.txt, Average Fitness: 809.679361441368, Average Time: 2.779592275619507
File: points_prob210_8.txt, Average Fitness: 797.4315490748063, Average Time: 1.6874830722808838
File: points_prob210_80.txt, Average Fitness: 812.2286809468039, Average Time: 2.5113070011138916
File: points_prob210_81.txt, Average Fitness: 802.6295908945851, Average Time: 2.1383056640625
File: points_prob210_82.txt, Average Fitness: 805.1320178754879, Average Time: 2.3417372703552246
File: points_prob210_83.txt, Average Fitness: 839.6918571286253, Average Time: 1.8430404663085938
