File,Fitness (Output 1),Fitness (Output 2),Accuracy
points_prob610_34.txt,2451.2999210792823,2584.6769655853536,94.83970158429972
points_prob610_35.txt,2428.010707365271,2540.8991055721253,95.55714754831104
points_prob610_36.txt,2455.434118292739,2526.427739818174,97.18996033781104
points_prob610_37.txt,2494.2004977716038,2554.7685850760963,97.62921433830421
points_prob610_38.txt,2499.215800683335,2600.4023842565425,96.10881053694554
points_prob610_39.txt,2480.608115956835,2600.823975623347,95.37777793525224
points_prob610_4.txt,2453.445472314288,2578.2365074416857,95.15982979966316
points_prob610_40.txt,2475.755250957148,2555.3831032940757,96.88391723987367
points_prob610_41.txt,2515.582644176049,2577.4743132099447,97.59874739714412
points_prob610_42.txt,2467.981909006379,2614.1442365604844,94.40878871525406
points_prob610_43.txt,2479.1366320393176,2575.040917268044,96.27562091982311
points_prob610_44.txt,2487.051414444992,2578.1023509688544,96.46829628429434
points_prob610_45.txt,2461.8352994015245,2595.879199345195,94.83628128853289
points_prob610_46.txt,2463.785658916726,2560.5435077320853,96.22119879927135
points_prob610_47.txt,2472.1032690543016,2568.911483398435,96.23154729270527
points_prob610_48.txt,2423.448931507098,2588.6673191084046,93.6176276348167
points_prob610_49.txt,2494.1328003294866,2521.0170944158535,98.9335933442928
points_prob610_5.txt,2469.8130729205564,2593.9828963979435,95.21315951428161
points_prob610_50.txt,2446.164759818423,2565.3379897769496,95.35448231642614
points_prob610_51.txt,2473.8733049148673,2554.160810258602,96.85659943488031
points_prob610_52.txt,2461.089342082229,2572.7891700572445,95.65841502774477
points_prob610_53.txt,2477.418381880009,2572.006288474855,96.32240764656393
points_prob610_54.txt,2449.7432008691094,2572.214412868435,95.23868572594031
points_prob610_55.txt,2440.8175677754734,2546.4376736142694,95.85224068379084
points_prob610_56.txt,2472.423736649023,2539.837118480543,97.34575964178956
points_prob610_57.txt,2471.0802685842673,2561.5366273243744,96.46866815117173
points_prob610_58.txt,2485.3006064719466,2565.2619871621578,96.88291562068991
points_prob610_59.txt,2491.8409233095817,2585.0027294731317,96.39606546247099
points_prob610_6.txt,2451.471465961429,2595.0724853907464,94.46639659440207
points_prob610_60.txt,2461.7892344074817,2553.8377758581187,96.3956778178791
